GEO_ID,Geographic_Area_Name,Households,Median_Income_Household,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Percent_Other_Race,Median_Income_Other_Race,Percent_Hispanic_or_Latino,Median_Income_Hispanic_or_Latino,Percent_15_to_24,Median_Income_15_to_24,Percent_25_to_44,Median_Income_25_to_44,Percent_45_to_64,Median_Income_45_to_64,Percent_65_and_over,Median_Income_65_and_Over,Families,Median_Income_Family,Percent_Family_With_Children,Median_Income_Family_with_Children,Percent_Family_no_Children,Median_Income_Family_no_Children,Percent_Married_Couple_Family,Median_Income_Married_Couple_Family,Percent_Female_Householder_no_Spouse,Median_Income_Female_Householder_no_Spouse,Percent_Male_Householder_no_Spouse,Median_Income_Male_Householder_no_Spouse,Nonfamily_Households,Median_Income_Nonfamily_Households,Percent_Nonfamily_Lone_Female,Median_Income_Nonfamily_Lone_Female,Percent_Nonfamily_Lone_Male,Median_Income_Nonfamily_Lone_Male
53061051200,"Census Tract 512, Snohomish County, Washington",1816,88900,98871,51758,-,-,-,0.4,-,6.1,-,3.2,-,44.4,98158,36.1,103611,16.3,67803,1170,102328,451,112031,719,102047,919,120194,115,66076,136,40658,646,52941,309,51653,156,42813
53061051301,"Census Tract 513.01, Snohomish County, Washington",1336,80571,78807,71299,-,136372,-,5.4,-,7,160865,3.4,43947,40.2,79830,40.4,97344,15.9,53375,832,88232,451,80607,381,121979,554,128523,216,70294,62,58182,504,61875,135,50298,176,53722
53061051302,"Census Tract 513.02, Snohomish County, Washington",1528,73269,78393,83696,-,-,-,6.7,51000,10.8,64003,8.8,-,43.5,67027,33.6,84500,14.1,75089,1097,71464,462,66181,635,81976,673,79871,302,52619,122,64398,431,74784,176,67321,107,62688
53061051401,"Census Tract 514.01, Snohomish County, Washington",1817,52290,55601,-,-,50929,-,3.9,-,15.9,-,4.3,-,44.4,52188,29.3,59069,22,-,881,59345,415,58558,466,60385,696,58971,120,58192,65,91250,936,48966,405,25863,256,60046
53061051402,"Census Tract 514.02, Snohomish County, Washington",1630,55845,56318,68448,-,110813,-,7.9,20577,16.7,25000,7.3,-,51.5,62500,23.6,68045,17.5,21389,969,68923,549,68646,420,69412,703,83542,252,55303,14,-,661,29133,303,26875,194,-
53061051500,"Census Tract 515, Snohomish County, Washington",2374,60068,55804,60607,-,51094,-,0.9,-,6.5,56486,2.4,-,33.9,61293,27.6,71385,36.1,28873,1411,61163,662,44819,749,90324,712,130203,462,50208,237,44121,963,32454,494,21547,247,37250
53061051601,"Census Tract 516.01, Snohomish County, Washington",1706,82440,98542,-,-,81875,-,5.3,-,8.6,-,1.5,-,35.2,90000,47.3,80560,16.1,77500,1331,95133,627,93807,704,96167,899,109632,288,57813,144,35959,375,-,133,-,195,16635
53061051602,"Census Tract 516.02, Snohomish County, Washington",1565,83250,85984,-,-,95385,-,1.4,-,7.4,-,0.3,-,25.1,97708,49.6,81250,24.9,67400,1173,85750,315,100905,858,80357,826,105417,263,42156,84,105147,392,39338,193,34554,83,51932
53061051701,"Census Tract 517.01, Snohomish County, Washington",2418,62698,70469,27667,-,93654,-,2.3,-,6.8,-,1.7,30847,42.1,54250,34.1,92644,22,52863,1327,72637,664,52800,663,94183,1013,74375,220,63537,94,-,1091,33266,248,34919,343,17529
53061051702,"Census Tract 517.02, Snohomish County, Washington",1725,69792,64318,-,-,60809,-,1.2,-,9.6,122773,0.6,-,26.3,66932,40.3,93456,32.8,39417,919,91771,386,62377,533,100089,772,104500,129,44583,18,-,806,38854,409,22232,178,36406
